volume,chapter,title,url
1,1,창세기 1,https://www.youtube.com/watch?v=LLu2xB_rIT4
1,2,창세기 2,https://www.youtube.com/watch?v=yUeqd5_MsFY
1,3,출애굽기,https://www.youtube.com/watch?v=nuumvEm2D9M
1,4,레위기,https://www.youtube.com/watch?v=4Ttqlz3qR8Q
1,5,민수기,https://www.youtube.com/watch?v=ODkCppuCsAA
1,6,신명기,https://www.youtube.com/watch?v=nrGJvJz9WHI
1,7,여호수아,https://www.youtube.com/watch?v=Eb6jCXeDHCg
2,1,사사기,https://www.youtube.com/watch?v=A4BVjXOnJXY
2,2,사무엘상·하 1,https://www.youtube.com/watch?v=YLuWUTeCltc
2,3,사무엘상·하 2,https://www.youtube.com/watch?v=MVQgiGHrMec
2,4,열왕기상·하,https://www.youtube.com/watch?v=OFxFwWNMEjw
2,5,역대상·하,https://www.youtube.com/watch?v=DATMW23HVm4
2,6,유배기,https://www.youtube.com/watch?v=BxFFHUtlaSM
2,7,에스라·느헤미야·에스더,https://www.youtube.com/watch?v=MIZFwFNaFkk
3,1,욥기,https://www.youtube.com/watch?v=py_S7ICqOyQ
3,2,시편 1,https://www.youtube.com/watch?v=dDzzD_vu0JI
3,3,시편 2,https://www.youtube.com/watch?v=3js4uGzvsJY
3,4,시편 3,https://www.youtube.com/watch?v=HlB72y13ork
3,5,시편 4,https://www.youtube.com/watch?v=bDPOFSHgkQA
3,6,잠언,https://www.youtube.com/watch?v=l8uNGDL9T0w
3,7,전도서·아가,https://www.youtube.com/watch?v=QIATHwMWS-I
4,1,이사야,https://www.youtube.com/watch?v=kRhEyqzxqUs
4,2,예레미야,https://www.youtube.com/watch?v=MBoaA_5sid0
4,3,에스겔,https://www.youtube.com/watch?v=t7MwSpxihPk
4,4,묵시문학과 다니엘,https://www.youtube.com/watch?v=ytn1zktdYzM
4,5,소선지서,https://www.youtube.com/watch?v=4jdhnOw9rLw
5,1,복음서 1,https://www.youtube.com/watch?v=aV-7QO8KdnY
5,2,복음서 2,https://www.youtube.com/watch?v=1AuD1F7RaDw
5,3,복음서 3,https://www.youtube.com/watch?v=9j9RhkVMoKw
5,4,복음서 4,https://www.youtube.com/watch?v=7AlFvpeVHXI
5,5,사도행전 1,https://www.youtube.com/watch?v=ovYiJ_q0aMg
5,6,사도행전 2,https://www.youtube.com/watch?v=heD3yyHR77c
5,7,로마서,https://www.youtube.com/watch?v=cUYgRHn7lOk
6,1,바울 서신 1,https://www.youtube.com/watch?v=w6Zsa0LU7AE
6,2,바울 서신 2,https://www.youtube.com/watch?v=aP08iEL7vdQ
6,3,바울 서신 3,https://www.youtube.com/watch?v=IvcfBnhTAGE
6,4,일반 서신 1,https://www.youtube.com/watch?v=9coXCovH_Kc
6,5,일반 서신 2,https://www.youtube.com/watch?v=yxTmK4m2ekM
6,6,요한계시록 1,https://www.youtube.com/watch?v=imWjNPHxDyc
6,7,요한계시록 2,https://www.youtube.com/watch?v=7hQSOYCETPE
